Date,Ticker,Name,Volume,Price,Change
2023-10-15,TRANSCOHOT,Transcorp Hotels Plc,3771.0,44.4,0.0
2023-10-15,TRANSCORP,Transcorp Nigeria,10207659.0,6.12,-0.18
2023-10-15,TRANSEXPR,Trans-Nationwide Express,,1.05,
2023-10-15,TRIPPLEG,Tripple Gee & Co. Plc,64000.0,2.38,0.0
2023-10-15,UACN,UAC of Nigeria,20779.0,10.8,0.0
2023-10-15,UBA,United Bank for Africa,48227076.0,17.55,0.05
2023-10-15,UBN,Union Bank Nigeria,44750.0,6.95,0.0
2023-10-15,UCAP,United Capital Plc,2526790.0,16.5,-0.05
2023-10-15,UHOMREIT,Union Homes Real Estate Inv.,3250.0,36.6,0.0
2023-10-15,UNHOMES,Union Homes Savings & Loans,,3.02,
2023-10-15,UNILEVER,Unilever Nigeria,2608221.0,14.25,0.2
2023-10-15,UNIONDICON,Union Dicon Salt,,8.1,
2023-10-15,UNITYBNK,Unity Bank,89615.0,0.98,0.0
2023-10-15,UNIVINSURE,Universal Insurance Company,6727804.0,0.24,0.0
2023-10-15,UPDC,UPDC Plc,102907.0,1.32,0.0
2023-10-15,UPDCREIT,UPDC Real Estate Investment Trust,44663.0,3.55,0.0
2023-10-15,UPL,University Press,780010.0,2.36,0.21
2023-10-15,VANLEER,Greif Nigeria,,5.45,
2023-10-15,VERITASKAP,Veritas Kapital Assurance Plc,3485100.0,0.27,0.0
2023-10-15,VFDGROUP,VFD Group,21646.0,269.3,0.0
2023-10-15,VITAFOAM,Vitafoam Nigeria,696379.0,23.3,0.0
2023-10-15,WAPCO,Lafarge Wapco,631221.0,29.4,0.0
2023-10-15,WAPIC,Wapic Insurance,292929.0,0.64,0.0
2023-10-15,WEMABANK,Wema Bank,9296957.0,4.75,-0.05
2023-10-15,ZENITHBANK,Zenith Bank Plc,12986474.0,32.0,0.0
