date,user_id,event_name,mobile_os_type,version
12/31/2019,20d79dc832489b3f69cb92bbc2dc0541,push_received,L51,11.3.1
12/31/2019,7eb68e98e9ee557caeddd08893714abf,model_view,U683CL,11.3.1
12/31/2019,38572417a073e8f05229ac0cf4a0a383,push_received,U683CL,11.3.1
12/31/2019,517a0bc50fa781d6a654dfce8d6fe840,push_received,U683CL,11.3.1
12/30/2019,c7aff1ac60779546c03f8b396877c235,push_received,U683CL,11.3.1
12/30/2019,70fbf853b03a33715d3578f5961e6aad,push_received,L51,11.3.1
12/30/2019,dbda2cee3153baf65416c61970a6450a,user_engagement,U683CL,11.3.1
12/30/2019,dacf267495d8c131dc6487772f67c7f9,push_received,U683CL,11.3.1
12/31/2019,7ba08a43195fde394b92c551f723817e,push_received,U683CL,11.3.1
12/30/2019,ba7935d52068769e8e8671ae663be981,push_received,U683CL,11.3.1
12/31/2019,55348821514bd61a0a3ed95f6af7de56,push_received,U683CL,11.3.1
12/30/2019,bb97ad7e1d4064aa83cc8fca5239004a,push_received,U683CL,11.3.1
12/30/2019,83b4a8aa4927cb657339077686ef1650,push_received,U683CL,11.3.1
12/31/2019,da1ea8a1eb5b274b47dd3a1096bb1372,push_received,U683CL,11.3.1
12/31/2019,cf0742dde8b7a7448cc0172c4274c842,push_received,U683CL,11.3.1
12/31/2019,67d2c51b9f027fe9bf441f1b2b0f00e8,push_received,U683CL,11.3.1
12/31/2019,45a2ab8152d611e4f99a1eeca683675f,push_received,U683CL,11.3.1
12/31/2019,92844abab79b1a7b9735b275ecf29141,push_received,U683CL,11.3.1
12/30/2019,fcc8f4c4893c4bb583c4c254c38cebb5,push_received,U683CL,11.3.1
12/30/2019,308593f07fc0555d5aaa63c1e1955551,push_received,U683CL,11.3.1
12/31/2019,da57624ff00dfe3df4d93d1f7fee4ea1,push_received,U683CL,11.3.1
12/31/2019,03359c83dcf1fad45a36fce3102883bb,push_received,U683CL,11.3.1
12/30/2019,84d04620eb38113687cc038a87209207,push_received,U683CL,11.3.1
12/31/2019,25938fc695e8a347a3f7a7477994ec08,push_received,U683CL,11.3.1
12/31/2019,12c09dadb5b12fcbe3e3b34b3128fc19,push_received,L51,11.3.1
12/31/2019,9a3dd817424c4ac9c812e455ea792538,push_received,U683CL,11.3.1
12/30/2019,3ad513de2ff96555964290d166cf009a,push_received,U683CL,11.3.1
12/31/2019,4b1f2d4a4d5a244a9f70292e0e27fb03,push_received,U683CL,11.3.1
12/31/2019,c48730ef0e73f4d4f14df9b07fa5fdbb,push_received,U683CL,11.3.1
12/31/2019,9a4c611c57d0266b936a07917afe99f6,push_received,U683CL,11.3.1
12/31/2019,25dbd1bf113d7516fdc51770aa8bf8ee,push_received,U683CL,11.3.1
